date,nav
19-06-2026,6195.7815
18-06-2026,6194.652
17-06-2026,6193.3504
16-06-2026,6191.812
15-06-2026,6187.8223
12-06-2026,6181.8148
11-06-2026,6179.1996
10-06-2026,6181.7967
09-06-2026,6180.6685
08-06-2026,6174.2084
05-06-2026,6168.4755
04-06-2026,6160.9434
03-06-2026,6159.9626
02-06-2026,6158.9665
01-06-2026,6156.7532
29-05-2026,6151.1139
27-05-2026,6146.6118
26-05-2026,6144.0004
25-05-2026,6144.8478
22-05-2026,6142.638
21-05-2026,6142.8808
20-05-2026,6147.5856
19-05-2026,6149.7598
18-05-2026,6148.4847
15-05-2026,6148.3016
14-05-2026,6148.9361
13-05-2026,6150.1257
12-05-2026,6150.5076
11-05-2026,6151.8671
08-05-2026,6151.3707
07-05-2026,6149.9098
06-05-2026,6149.0307
05-05-2026,6146.0001
04-05-2026,6145.7049
30-04-2026,6140.1614
29-04-2026,6141.8799
28-04-2026,6143.001
27-04-2026,6142.5902
24-04-2026,6142.2018
23-04-2026,6141.9603
22-04-2026,6143.3663
21-04-2026,6142.9601
20-04-2026,6142.2537
17-04-2026,6139.2351
16-04-2026,6139.7004
15-04-2026,6137.6962
13-04-2026,6133.4071
10-04-2026,6129.7674
09-04-2026,6126.1544
08-04-2026,6119.1243
07-04-2026,6110.1834
06-04-2026,6107.3346
02-04-2026,6104.7264
31-03-2026,6102.5131
30-03-2026,6101.3858
27-03-2026,6095.1859
25-03-2026,6090.541
24-03-2026,6089.2045
23-03-2026,6090.1601
20-03-2026,6093.5261
18-03-2026,6093.8586
17-03-2026,6089.0993
16-03-2026,6086.3434
13-03-2026,6083.6197
12-03-2026,6087.112
11-03-2026,6088.3404
10-03-2026,6086.6516
09-03-2026,6085.2288
06-03-2026,6084.2962
05-03-2026,6082.3927
04-03-2026,6081.0589
02-03-2026,6081.764
27-02-2026,6079.9195
26-02-2026,6078.8123
25-02-2026,6077.5886
24-02-2026,6076.1758
23-02-2026,6074.6388
20-02-2026,6071.6571
18-02-2026,6069.767
17-02-2026,6069.7063
16-02-2026,6069.3783
13-02-2026,6066.864
12-02-2026,6063.705
11-02-2026,6061.1204
10-02-2026,6058.8643
09-02-2026,6057.5032
06-02-2026,6054.9686
05-02-2026,6055.7449
04-02-2026,6053.3313
03-02-2026,6050.7733
02-02-2026,6047.2159
30-01-2026,6043.7838
29-01-2026,6041.3173
28-01-2026,6040.7842
27-01-2026,6041.4977
23-01-2026,6037.6453
22-01-2026,6037.506
21-01-2026,6034.6246
20-01-2026,6033.4329
19-01-2026,6033.5639
16-01-2026,6031.7639
14-01-2026,6031.499
13-01-2026,6030.9953
12-01-2026,6031.2329
09-01-2026,6028.4591
08-01-2026,6028.086
07-01-2026,6028.3846
06-01-2026,6028.7271
05-01-2026,6027.6905
02-01-2026,6025.268
01-01-2026,6024.7187
31-12-2025,6023.5454
30-12-2025,6020.3988
29-12-2025,6020.5172
26-12-2025,6017.7227
24-12-2025,6015.9944
23-12-2025,6013.8267
22-12-2025,6012.9635
19-12-2025,6009.9347
18-12-2025,6008.9502
17-12-2025,6007.8902
16-12-2025,6007.2035
15-12-2025,6006.304
12-12-2025,6004.0068
11-12-2025,6003.0596
