date,nav
19-06-2026,202.0761
18-06-2026,200.9565
17-06-2026,199.8302
16-06-2026,198.6152
15-06-2026,198.032
12-06-2026,196.5577
11-06-2026,192.6722
10-06-2026,193.4371
09-06-2026,194.3813
08-06-2026,191.9092
05-06-2026,194.7547
04-06-2026,194.522
03-06-2026,194.081
02-06-2026,193.1295
01-06-2026,192.3195
31-05-2026,193.6836
29-05-2026,193.6848
27-05-2026,195.0501
26-05-2026,194.2258
25-05-2026,193.5599
22-05-2026,192.1227
21-05-2026,191.7575
20-05-2026,189.8661
19-05-2026,189.5553
18-05-2026,187.9126
15-05-2026,190.2405
14-05-2026,189.9345
13-05-2026,190.464
12-05-2026,190.6152
11-05-2026,195.586
08-05-2026,196.8821
07-05-2026,197.4753
06-05-2026,196.0036
05-05-2026,194.5618
04-05-2026,195.4469
30-04-2026,193.4131
29-04-2026,194.1523
28-04-2026,193.4843
27-04-2026,193.8317
24-04-2026,191.0425
23-04-2026,193.0317
22-04-2026,194.1928
21-04-2026,192.6397
20-04-2026,191.0583
17-04-2026,190.5242
16-04-2026,188.3316
15-04-2026,187.2786
13-04-2026,184.3491
10-04-2026,184.6967
09-04-2026,181.2455
08-04-2026,180.5783
07-04-2026,174.8342
06-04-2026,174.9151
02-04-2026,173.8471
01-04-2026,173.782
31-03-2026,169.3706
30-03-2026,169.3708
27-03-2026,172.4739
25-03-2026,175.4211
24-03-2026,172.0049
23-03-2026,169.1091
20-03-2026,174.6205
19-03-2026,173.9004
18-03-2026,177.4908
17-03-2026,174.0628
16-03-2026,173.8198
13-03-2026,173.9754
12-03-2026,177.9888
11-03-2026,178.3891
10-03-2026,178.8419
09-03-2026,175.7742
06-03-2026,178.9784
05-03-2026,179.3239
04-03-2026,177.9961
02-03-2026,181.3175
28-02-2026,184.7579
27-02-2026,184.7581
26-02-2026,186.095
25-02-2026,186.0488
24-02-2026,186.208
23-02-2026,187.5721
20-02-2026,186.2228
19-02-2026,186.6666
18-02-2026,188.2128
17-02-2026,187.6437
16-02-2026,185.8471
13-02-2026,187.236
12-02-2026,189.6029
11-02-2026,189.7464
10-02-2026,189.019
09-02-2026,188.469
06-02-2026,184.627
05-02-2026,185.6949
04-02-2026,186.7774
03-02-2026,186.7009
02-02-2026,180.5424
31-01-2026,183.301
30-01-2026,183.3021
29-01-2026,179.9408
28-01-2026,181.0873
27-01-2026,179.5515
23-01-2026,179.8035
22-01-2026,182.7544
21-01-2026,181.5325
20-01-2026,181.835
19-01-2026,185.4042
16-01-2026,186.9719
14-01-2026,187.3375
13-01-2026,187.6594
12-01-2026,186.1837
09-01-2026,187.0971
08-01-2026,190.16
07-01-2026,193.3173
06-01-2026,193.7027
05-01-2026,194.3786
02-01-2026,194.574
01-01-2026,193.6417
31-12-2025,193.7724
30-12-2025,191.9501
29-12-2025,192.541
26-12-2025,192.5913
24-12-2025,193.2848
23-12-2025,193.2652
22-12-2025,192.2573
19-12-2025,191.1157
18-12-2025,189.542
17-12-2025,190.0621
16-12-2025,191.3143
15-12-2025,193.1325
12-12-2025,192.3377
11-12-2025,191.4952
10-12-2025,191.2557
09-12-2025,191.3573
08-12-2025,190.1591
05-12-2025,193.1451
04-12-2025,193.4599
03-12-2025,194.3355
02-12-2025,194.4312
01-12-2025,195.3626
30-11-2025,194.979
28-11-2025,194.9784
27-11-2025,195.149
26-11-2025,195.8555
25-11-2025,194.2042
24-11-2025,193.9092
21-11-2025,194.2517
20-11-2025,196.0732
19-11-2025,196.528
18-11-2025,196.9478
17-11-2025,197.9212
14-11-2025,197.0676
13-11-2025,196.5465
12-11-2025,196.884
11-11-2025,196.4486
10-11-2025,196.2451
07-11-2025,197.315
06-11-2025,197.8032
04-11-2025,200.4678
03-11-2025,200.9709
31-10-2025,199.8234
30-10-2025,200.5185
29-10-2025,201.0375
28-10-2025,200.6348
27-10-2025,199.7965
24-10-2025,198.4115
23-10-2025,198.7521
20-10-2025,197.5258
17-10-2025,197.1075
16-10-2025,196.9521
15-10-2025,194.7
14-10-2025,193.3975
13-10-2025,194.5364
10-10-2025,195.1185
09-10-2025,195.0376
08-10-2025,195.8587
07-10-2025,196.4294
06-10-2025,196.5483
03-10-2025,196.2965
01-10-2025,195.0856
30-09-2025,193.8822
26-09-2025,194.0973
25-09-2025,197.3447
24-09-2025,198.8861
23-09-2025,199.4573
22-09-2025,200.2539
19-09-2025,201.306
18-09-2025,201.5447
17-09-2025,201.82
16-09-2025,201.1795
15-09-2025,200.0967
12-09-2025,199.0716
11-09-2025,198.9835
10-09-2025,198.7075
09-09-2025,198.2444
08-09-2025,197.448
05-09-2025,197.5939
04-09-2025,197.6887
03-09-2025,197.6325
02-09-2025,196.2367
01-09-2025,195.7343
31-08-2025,193.7537
29-08-2025,193.7532
28-08-2025,194.4893
26-08-2025,195.5946
25-08-2025,198.7805
22-08-2025,199.1156
21-08-2025,200.0554
20-08-2025,198.8477
19-08-2025,198.0389
18-08-2025,196.9203
14-08-2025,193.4131
13-08-2025,192.9222
12-08-2025,192.705
11-08-2025,193.1584
08-08-2025,191.9575
07-08-2025,193.0064
06-08-2025,193.5756
05-08-2025,194.9731
04-08-2025,195.6536
01-08-2025,194.9548
31-07-2025,197.489
30-07-2025,198.4508
29-07-2025,197.8146
28-07-2025,197.4629
25-07-2025,199.4349
24-07-2025,202.721
23-07-2025,203.9043
22-07-2025,203.3714
21-07-2025,203.8028
18-07-2025,204.0356
17-07-2025,204.9043
16-07-2025,203.6835
15-07-2025,203.9268
14-07-2025,202.0189
11-07-2025,201.2606
10-07-2025,201.5985
09-07-2025,201.3287
08-07-2025,200.4396
07-07-2025,200.3235
04-07-2025,200.6762
03-07-2025,200.0186
02-07-2025,199.3409
01-07-2025,200.2672
30-06-2025,200.3178
27-06-2025,198.0688
26-06-2025,197.2286
25-06-2025,197.4405
24-06-2025,194.4838
23-06-2025,192.973
20-06-2025,192.5872
19-06-2025,192.1535
18-06-2025,194.7498
17-06-2025,194.4976
16-06-2025,194.3117
13-06-2025,193.8702
12-06-2025,194.3159
11-06-2025,196.3155
10-06-2025,196.3203
09-06-2025,196.2268
06-06-2025,194.4367
05-06-2025,193.4622
04-06-2025,193.3241
03-06-2025,193.3558
02-06-2025,193.0141
31-05-2025,192.6784
30-05-2025,192.6772
29-05-2025,192.4906
28-05-2025,192.2322
27-05-2025,191.6915
26-05-2025,192.0116
23-05-2025,190.7428
22-05-2025,190.2297
21-05-2025,190.2708
20-05-2025,190.162
19-05-2025,192.0015
16-05-2025,190.5543
15-05-2025,189.7716
14-05-2025,188.3401
13-05-2025,185.9199
12-05-2025,185.5194
09-05-2025,180.3079
08-05-2025,181.2148
07-05-2025,182.5147
06-05-2025,180.8742
05-05-2025,183.67
02-05-2025,181.6763
30-04-2025,181.8527
29-04-2025,184.4749
28-04-2025,184.7984
25-04-2025,184.3892
24-04-2025,187.4442
23-04-2025,187.4918
22-04-2025,187.4594
21-04-2025,186.1086
17-04-2025,183.494
16-04-2025,182.6797
15-04-2025,181.4688
11-04-2025,177.359
09-04-2025,173.4024
08-04-2025,174.6198
07-04-2025,171.893
04-04-2025,176.8853
03-04-2025,181.0205
02-04-2025,180.504
01-04-2025,178.3073
31-03-2025,178.5628
28-03-2025,178.5548
27-03-2025,178.6535
26-03-2025,178.8617
25-03-2025,181.1499
24-03-2025,181.6626
21-03-2025,179.8765
20-03-2025,177.2546
19-03-2025,176.277
18-03-2025,174.3065
17-03-2025,170.8415
13-03-2025,170.4454
12-03-2025,170.9127
11-03-2025,170.8118
10-03-2025,171.8878
07-03-2025,173.6464
06-03-2025,173.0546
05-03-2025,170.5378
04-03-2025,167.4144
03-03-2025,166.5363
28-02-2025,167.2753
27-02-2025,169.2761
25-02-2025,170.5772
24-02-2025,171.0281
21-02-2025,173.194
20-02-2025,173.7251
19-02-2025,172.8542
18-02-2025,170.6351
17-02-2025,172.6017
14-02-2025,173.7027
13-02-2025,177.2214
12-02-2025,178.0673
11-02-2025,178.8097
10-02-2025,183.4947
07-02-2025,186.6001
06-02-2025,188.2236
05-02-2025,188.0012
04-02-2025,187.7402
03-02-2025,186.5887
31-01-2025,185.8927
30-01-2025,183.9481
29-01-2025,184.474
28-01-2025,179.9981
27-01-2025,181.1505
24-01-2025,184.8357
23-01-2025,187.6026
22-01-2025,186.9925
21-01-2025,189.0302
20-01-2025,191.8699
17-01-2025,190.5474
16-01-2025,191.5461
15-01-2025,190.2908
14-01-2025,189.4394
13-01-2025,187.9708
10-01-2025,194.0951
09-01-2025,197.3978
08-01-2025,199.1083
07-01-2025,201.51
06-01-2025,199.9325
03-01-2025,204.7473
02-01-2025,204.958
01-01-2025,204.0133
31-12-2024,202.025
30-12-2024,200.9474
27-12-2024,202.2744
26-12-2024,201.1712
24-12-2024,201.9117
23-12-2024,201.8235
20-12-2024,203.8639
19-12-2024,208.1814
18-12-2024,208.9039
17-12-2024,209.149
16-12-2024,209.9361
13-12-2024,209.4705
12-12-2024,209.1364
11-12-2024,210.4887
10-12-2024,210.1936
09-12-2024,209.1188
06-12-2024,207.7793
05-12-2024,206.9634
04-12-2024,206.8799
03-12-2024,205.6142
02-12-2024,203.0662
30-11-2024,203.2306
29-11-2024,203.2298
28-11-2024,202.2046
27-11-2024,202.2303
26-11-2024,201.5981
25-11-2024,201.2427
22-11-2024,196.9679
21-11-2024,196.0174
19-11-2024,196.9149
18-11-2024,194.9632
14-11-2024,195.8825
13-11-2024,194.6035
12-11-2024,198.665
11-11-2024,201.1783
08-11-2024,202.8558
