date,nav
19-06-2026,107.9636
18-06-2026,108.0081
17-06-2026,107.5348
16-06-2026,107.014
15-06-2026,106.5977
12-06-2026,105.2124
11-06-2026,102.8808
10-06-2026,103.1873
09-06-2026,103.5259
08-06-2026,102.4845
05-06-2026,103.8102
04-06-2026,103.6421
03-06-2026,103.4809
02-06-2026,103.5959
01-06-2026,103.0948
31-05-2026,104.3083
29-05-2026,104.3129
27-05-2026,105.9296
26-05-2026,105.5115
25-05-2026,105.9217
22-05-2026,104.7708
21-05-2026,104.4915
20-05-2026,104.6046
19-05-2026,104.2767
18-05-2026,104.1556
15-05-2026,104.2918
14-05-2026,104.5531
13-05-2026,103.396
12-05-2026,103.3384
11-05-2026,105.6066
08-05-2026,107.15
07-05-2026,107.6729
06-05-2026,107.3354
05-05-2026,105.8387
04-05-2026,105.7449
30-04-2026,105.2845
29-04-2026,106.0698
28-04-2026,105.6212
27-04-2026,106.0528
24-04-2026,105.0928
23-04-2026,106.1301
22-04-2026,106.8299
21-04-2026,107.2434
20-04-2026,106.2063
17-04-2026,105.9826
16-04-2026,105.117
15-04-2026,104.9259
13-04-2026,103.2303
10-04-2026,104.1348
09-04-2026,102.5494
08-04-2026,103.2833
07-04-2026,99.3876
06-04-2026,98.8014
02-04-2026,97.52
01-04-2026,97.7184
31-03-2026,96.2753
30-03-2026,96.2768
27-03-2026,98.6739
25-03-2026,100.7319
24-03-2026,98.6597
23-03-2026,96.713
20-03-2026,99.6142
19-03-2026,99.1597
18-03-2026,102.4592
17-03-2026,101.2496
16-03-2026,100.396
13-03-2026,99.7111
12-03-2026,101.9718
11-03-2026,102.9776
10-03-2026,104.7593
09-03-2026,103.3882
06-03-2026,105.405
05-03-2026,106.7297
04-03-2026,105.4928
02-03-2026,107.5231
28-02-2026,108.9325
27-02-2026,108.9345
26-02-2026,110.2945
25-02-2026,109.9293
24-02-2026,109.3681
23-02-2026,110.291
20-02-2026,109.5273
19-02-2026,109.0091
18-02-2026,110.6303
17-02-2026,110.0806
16-02-2026,109.8444
13-02-2026,109.3409
12-02-2026,110.5365
11-02-2026,110.8392
10-02-2026,110.6519
09-02-2026,110.3845
06-02-2026,109.1756
05-02-2026,109.0137
04-02-2026,109.288
03-02-2026,109.0955
02-02-2026,106.1596
31-01-2026,107.1897
30-01-2026,107.1918
29-01-2026,107.1759
28-01-2026,107.0296
27-01-2026,105.945
23-01-2026,105.7171
22-01-2026,106.8714
21-01-2026,106.0731
20-01-2026,106.5056
19-01-2026,108.3617
16-01-2026,108.6446
14-01-2026,108.5048
13-01-2026,108.8425
12-01-2026,108.8931
09-01-2026,108.8498
08-01-2026,110.0573
07-01-2026,111.3106
06-01-2026,111.2492
05-01-2026,111.1802
02-01-2026,111.5357
01-01-2026,110.5516
31-12-2025,110.2419
30-12-2025,109.5506
29-12-2025,109.8211
26-12-2025,110.2666
24-12-2025,110.6485
23-12-2025,110.852
22-12-2025,110.7862
19-12-2025,110.1534
18-12-2025,109.2532
17-12-2025,109.3091
16-12-2025,109.7392
15-12-2025,110.3582
12-12-2025,110.519
11-12-2025,109.7762
10-12-2025,109.0886
09-12-2025,109.7035
08-12-2025,109.6141
05-12-2025,111.1487
04-12-2025,110.8486
03-12-2025,110.7813
02-12-2025,111.2677
01-12-2025,111.6365
30-11-2025,111.8311
28-11-2025,111.8357
27-11-2025,111.8115
26-11-2025,111.8355
25-11-2025,110.5608
24-11-2025,110.661
21-11-2025,111.1918
20-11-2025,112.0795
19-11-2025,111.7018
18-11-2025,111.1769
17-11-2025,111.7933
14-11-2025,111.2034
13-11-2025,111.4226
12-11-2025,111.5788
11-11-2025,111.1622
10-11-2025,110.9776
07-11-2025,110.4431
06-11-2025,110.4409
04-11-2025,111.4046
03-11-2025,111.7992
31-10-2025,111.0948
30-10-2025,111.8699
29-10-2025,112.4068
28-10-2025,111.9031
27-10-2025,112.2705
24-10-2025,111.6549
23-10-2025,111.8587
20-10-2025,111.9025
17-10-2025,111.7489
16-10-2025,111.5399
15-10-2025,110.7365
14-10-2025,109.6634
13-10-2025,109.9552
10-10-2025,109.959
09-10-2025,109.5882
08-10-2025,109.065
07-10-2025,109.3201
06-10-2025,108.9326
03-10-2025,108.1386
01-10-2025,107.8239
30-09-2025,107.3134
26-09-2025,107.2246
25-09-2025,108.9191
24-09-2025,109.7608
23-09-2025,110.3401
22-09-2025,110.7182
19-09-2025,111.231
18-09-2025,111.5335
17-09-2025,111.2323
16-09-2025,110.8008
15-09-2025,110.1522
12-09-2025,110.0814
11-09-2025,109.7409
10-09-2025,109.7209
09-09-2025,109.2062
08-09-2025,108.9657
05-09-2025,108.7583
04-09-2025,108.9265
03-09-2025,108.7666
02-09-2025,108.2047
01-09-2025,108.3462
31-08-2025,107.1217
29-08-2025,107.1259
28-08-2025,107.4756
26-08-2025,108.7132
25-08-2025,109.9294
22-08-2025,109.6513
21-08-2025,110.1151
20-08-2025,110.0113
19-08-2025,109.5723
18-08-2025,109.045
14-08-2025,107.8455
13-08-2025,107.7607
12-08-2025,106.9215
11-08-2025,107.3883
08-08-2025,106.5285
07-08-2025,107.8011
06-08-2025,107.5084
05-08-2025,108.0923
04-08-2025,108.1149
01-08-2025,107.3597
31-07-2025,108.4305
30-07-2025,108.8599
29-07-2025,108.5168
28-07-2025,107.8724
25-07-2025,108.763
24-07-2025,109.8416
23-07-2025,110.268
22-07-2025,109.7437
21-07-2025,109.7098
18-07-2025,108.78
17-07-2025,109.3117
16-07-2025,109.4752
15-07-2025,109.4895
14-07-2025,108.827
11-07-2025,108.6737
10-07-2025,109.7323
09-07-2025,110.2936
08-07-2025,110.1649
07-07-2025,109.9783
04-07-2025,110.133
03-07-2025,109.8742
02-07-2025,110.2267
01-07-2025,110.588
30-06-2025,110.6845
27-06-2025,110.74
26-06-2025,110.2355
25-06-2025,109.3692
24-06-2025,108.5319
23-06-2025,107.9543
20-06-2025,108.1514
19-06-2025,106.6482
18-06-2025,107.2775
17-06-2025,107.5374
16-06-2025,107.9842
13-06-2025,107.014
12-06-2025,107.5691
11-06-2025,108.7816
10-06-2025,108.8321
09-06-2025,108.9621
06-06-2025,108.4007
05-06-2025,107.5533
04-06-2025,107.0655
03-06-2025,106.5283
02-06-2025,107.0707
31-05-2025,106.9766
30-05-2025,106.9783
29-05-2025,107.1679
28-05-2025,106.7675
27-05-2025,107.03
26-05-2025,107.4818
