date,nav
19-06-2026,251.5713
18-06-2026,249.1553
17-06-2026,246.3925
16-06-2026,245.2402
15-06-2026,244.629
12-06-2026,244.7205
11-06-2026,240.5886
10-06-2026,241.9186
09-06-2026,244.2347
08-06-2026,242.1594
05-06-2026,246.0878
04-06-2026,246.0784
03-06-2026,245.6593
02-06-2026,246.8566
01-06-2026,246.9814
29-05-2026,248.6673
27-05-2026,251.2273
26-05-2026,251.2702
25-05-2026,249.2266
22-05-2026,247.8039
21-05-2026,248.8853
20-05-2026,244.7199
19-05-2026,241.6771
18-05-2026,241.2615
15-05-2026,242.0952
14-05-2026,243.5314
13-05-2026,240.0746
12-05-2026,238.1528
11-05-2026,242.7219
08-05-2026,244.6201
07-05-2026,245.6055
06-05-2026,245.3878
05-05-2026,242.9594
04-05-2026,242.7655
30-04-2026,240.5353
29-04-2026,242.345
28-04-2026,242.6241
27-04-2026,241.2517
24-04-2026,238.1456
23-04-2026,239.7583
22-04-2026,238.5702
21-04-2026,236.4598
20-04-2026,235.1961
17-04-2026,236.2133
16-04-2026,233.318
15-04-2026,231.5434
13-04-2026,226.9809
10-04-2026,228.6993
09-04-2026,224.6235
08-04-2026,224.5909
07-04-2026,217.9604
06-04-2026,217.6413
02-04-2026,216.2795
01-04-2026,216.7627
31-03-2026,212.3571
30-03-2026,212.3561
27-03-2026,215.979
25-03-2026,218.6866
24-03-2026,214.9164
23-03-2026,210.115
20-03-2026,215.8819
19-03-2026,214.0899
18-03-2026,219.4077
17-03-2026,215.8723
16-03-2026,213.4091
13-03-2026,212.7884
12-03-2026,216.8313
11-03-2026,217.2638
10-03-2026,217.2151
09-03-2026,213.7211
06-03-2026,215.1244
05-03-2026,216.0433
04-03-2026,213.8632
02-03-2026,217.4449
27-02-2026,221.2108
26-02-2026,223.828
25-02-2026,222.6482
24-02-2026,220.5605
23-02-2026,221.7051
20-02-2026,221.3408
19-02-2026,220.4132
18-02-2026,223.2608
17-02-2026,222.9773
16-02-2026,222.4954
13-02-2026,222.5748
12-02-2026,225.4245
11-02-2026,225.6929
10-02-2026,225.1996
09-02-2026,224.5198
06-02-2026,221.7398
05-02-2026,220.8275
04-02-2026,220.8543
03-02-2026,220.1536
02-02-2026,215.3687
30-01-2026,217.3627
29-01-2026,215.8206
28-01-2026,216.5481
27-01-2026,214.5324
23-01-2026,214.913
22-01-2026,218.2378
21-01-2026,216.4631
20-01-2026,220.3003
19-01-2026,224.6687
16-01-2026,224.9528
14-01-2026,225.3953
13-01-2026,225.4815
12-01-2026,226.2587
09-01-2026,227.0265
08-01-2026,229.2263
07-01-2026,233.3132
06-01-2026,233.0409
05-01-2026,234.5069
02-01-2026,236.4132
