date,nav
19-06-2026,100.7824
18-06-2026,100.9901
17-06-2026,100.604
16-06-2026,100.0048
15-06-2026,99.3506
12-06-2026,98.1776
11-06-2026,96.1712
10-06-2026,96.5862
09-06-2026,96.6849
08-06-2026,95.8952
05-06-2026,97.2456
04-06-2026,97.2621
03-06-2026,97.2167
02-06-2026,97.4783
01-06-2026,97.1944
29-05-2026,98.4656
27-05-2026,99.8092
26-05-2026,99.4356
25-05-2026,99.8047
22-05-2026,98.7497
21-05-2026,98.3781
20-05-2026,98.3933
19-05-2026,98.1289
18-05-2026,97.9372
15-05-2026,98.0059
14-05-2026,98.0606
13-05-2026,97.169
12-05-2026,97.1846
11-05-2026,99.2007
08-05-2026,100.4981
07-05-2026,101.2917
06-05-2026,101.1725
05-05-2026,99.9072
04-05-2026,100.0932
30-04-2026,99.5502
29-04-2026,100.3928
28-04-2026,99.9782
27-04-2026,100.6093
24-04-2026,99.76
23-04-2026,100.8016
22-04-2026,101.5803
21-04-2026,101.9645
20-04-2026,100.9566
17-04-2026,100.7903
16-04-2026,99.9263
15-04-2026,99.8843
13-04-2026,98.1851
10-04-2026,98.8886
09-04-2026,97.4948
08-04-2026,98.1861
07-04-2026,94.7584
06-04-2026,94.353
02-04-2026,93.2361
01-04-2026,92.9211
31-03-2026,91.4539
30-03-2026,91.455
27-03-2026,93.579
25-03-2026,95.6217
24-03-2026,93.8354
23-03-2026,92.1523
20-03-2026,94.8276
19-03-2026,94.5458
18-03-2026,97.5488
17-03-2026,96.6146
16-03-2026,95.9441
13-03-2026,95.1844
12-03-2026,97.31
11-03-2026,98.1139
10-03-2026,99.4725
09-03-2026,98.2895
06-03-2026,100.0829
05-03-2026,101.1422
04-03-2026,99.951
02-03-2026,101.8541
27-02-2026,103.3052
26-02-2026,104.5075
25-02-2026,104.4641
24-02-2026,103.9564
23-02-2026,104.8203
20-02-2026,104.2351
19-02-2026,103.5918
18-02-2026,105.2559
17-02-2026,104.7084
16-02-2026,104.5361
13-02-2026,103.8148
12-02-2026,104.9922
11-02-2026,105.5426
10-02-2026,105.3572
09-02-2026,104.8998
06-02-2026,103.9204
05-02-2026,103.759
04-02-2026,104.0764
03-02-2026,103.8538
02-02-2026,101.2456
30-01-2026,102.2355
29-01-2026,102.3949
28-01-2026,101.8416
27-01-2026,100.8952
23-01-2026,100.5127
22-01-2026,101.5393
21-01-2026,100.8963
20-01-2026,101.2908
19-01-2026,102.9226
16-01-2026,103.2136
14-01-2026,103.3177
13-01-2026,103.3735
12-01-2026,103.6218
09-01-2026,103.4654
08-01-2026,104.3327
07-01-2026,105.6078
06-01-2026,105.7006
05-01-2026,105.7109
02-01-2026,106.1272
01-01-2026,105.4001
31-12-2025,105.3421
30-12-2025,104.5935
29-12-2025,104.7188
26-12-2025,104.9912
24-12-2025,105.3548
23-12-2025,105.5381
22-12-2025,105.338
19-12-2025,104.7495
18-12-2025,104.0678
17-12-2025,104.1918
16-12-2025,104.4782
15-12-2025,105.1821
12-12-2025,105.2738
11-12-2025,104.659
10-12-2025,104.014
09-12-2025,104.2635
08-12-2025,104.3721
05-12-2025,105.4142
04-12-2025,105.0426
03-12-2025,105.0214
02-12-2025,105.2367
01-12-2025,105.5389
28-11-2025,105.6844
27-11-2025,105.684
26-11-2025,105.5755
25-11-2025,104.1712
24-11-2025,104.323
21-11-2025,104.8664
20-11-2025,105.6047
19-11-2025,105.1392
18-11-2025,104.6087
17-11-2025,105.1203
14-11-2025,104.6864
13-11-2025,104.6624
12-11-2025,104.6829
11-11-2025,104.1242
10-11-2025,103.8912
07-11-2025,103.6712
06-11-2025,103.6683
04-11-2025,104.296
03-11-2025,104.8494
31-10-2025,104.5102
30-10-2025,105.2376
29-10-2025,105.7985
28-10-2025,105.143
27-10-2025,105.1974
24-10-2025,104.6441
23-10-2025,105.0429
20-10-2025,104.88
17-10-2025,104.4673
16-10-2025,104.1594
15-10-2025,103.2825
14-10-2025,102.5439
13-10-2025,102.968
10-10-2025,103.236
09-10-2025,102.7968
08-10-2025,102.3564
07-10-2025,102.7883
06-10-2025,102.8296
03-10-2025,102.3835
01-10-2025,102.0581
30-09-2025,101.3
26-09-2025,101.3125
25-09-2025,102.4742
24-09-2025,103.3338
23-09-2025,103.8134
22-09-2025,103.8105
19-09-2025,104.3509
18-09-2025,104.5531
17-09-2025,104.2438
16-09-2025,103.9014
15-09-2025,103.15
12-09-2025,102.9764
11-09-2025,102.4033
10-09-2025,102.3512
09-09-2025,101.9677
08-09-2025,101.6765
05-09-2025,101.5517
04-09-2025,101.4965
03-09-2025,101.5909
02-09-2025,100.9907
01-09-2025,101.1664
29-08-2025,100.3496
28-08-2025,100.5523
26-08-2025,101.34
25-08-2025,102.3387
22-08-2025,102.052
21-08-2025,102.728
20-08-2025,102.6558
19-08-2025,102.2421
18-08-2025,101.6867
14-08-2025,100.5741
13-08-2025,100.5914
12-08-2025,99.7536
11-08-2025,99.916
08-08-2025,98.9884
07-08-2025,99.9091
06-08-2025,99.7886
05-08-2025,100.1112
04-08-2025,100.2779
01-08-2025,99.9113
31-07-2025,100.5941
30-07-2025,100.6886
29-07-2025,100.2101
28-07-2025,99.6981
25-07-2025,100.2598
24-07-2025,101.3281
23-07-2025,101.7894
22-07-2025,101.3272
21-07-2025,101.3735
18-07-2025,100.9286
17-07-2025,101.4318
16-07-2025,101.623
15-07-2025,101.4168
14-07-2025,101.0587
11-07-2025,101.2686
10-07-2025,101.799
09-07-2025,102.039
08-07-2025,102.0364
07-07-2025,101.754
04-07-2025,101.7883
03-07-2025,101.5231
02-07-2025,101.8391
01-07-2025,102.2738
30-06-2025,102.3501
27-06-2025,102.6148
26-06-2025,102.1458
25-06-2025,101.2439
24-06-2025,100.5325
23-06-2025,99.9129
20-06-2025,100.4075
19-06-2025,99.3123
18-06-2025,99.7448
17-06-2025,99.7999
16-06-2025,100.0818
13-06-2025,99.3528
12-06-2025,100.0453
11-06-2025,101.3151
10-06-2025,101.2256
09-06-2025,101.3481
06-06-2025,100.6269
05-06-2025,99.6617
04-06-2025,99.1551
03-06-2025,98.7161
02-06-2025,99.2736
30-05-2025,99.1611
29-05-2025,99.4341
