date,nav
19-06-2026,105.9219
18-06-2026,105.9003
17-06-2026,105.8482
16-06-2026,105.8455
15-06-2026,105.8125
12-06-2026,105.6864
11-06-2026,105.5737
10-06-2026,105.6569
09-06-2026,105.5793
08-06-2026,105.3084
05-06-2026,105.107
04-06-2026,104.8095
03-06-2026,104.7496
02-06-2026,104.7663
01-06-2026,104.7025
29-05-2026,104.657
27-05-2026,104.5833
26-05-2026,104.5269
25-05-2026,104.5215
22-05-2026,104.3467
21-05-2026,104.285
20-05-2026,104.3826
19-05-2026,104.4216
18-05-2026,104.3791
15-05-2026,104.5968
14-05-2026,104.7318
13-05-2026,104.7371
12-05-2026,104.7585
11-05-2026,104.8053
08-05-2026,104.8696
07-05-2026,104.8762
06-05-2026,104.8043
05-05-2026,104.6166
04-05-2026,104.6544
30-04-2026,104.5706
29-04-2026,104.6594
28-04-2026,104.7428
27-04-2026,104.7771
24-04-2026,104.7091
23-04-2026,104.7652
22-04-2026,104.8473
21-04-2026,104.847
20-04-2026,104.8369
17-04-2026,104.7821
16-04-2026,104.7959
15-04-2026,104.7901
13-04-2026,104.6113
10-04-2026,104.5956
09-04-2026,104.515
08-04-2026,104.3919
07-04-2026,103.9918
06-04-2026,103.9142
02-04-2026,103.8813
31-03-2026,104.0116
30-03-2026,103.9921
27-03-2026,103.9102
25-03-2026,103.9713
24-03-2026,103.9816
23-03-2026,110.6625
20-03-2026,110.9352
18-03-2026,110.9985
17-03-2026,110.9316
16-03-2026,110.9159
13-03-2026,110.9287
12-03-2026,110.9898
11-03-2026,111.1072
10-03-2026,111.0484
09-03-2026,110.9193
06-03-2026,111.0395
05-03-2026,111.0534
04-03-2026,110.9499
02-03-2026,111.0653
27-02-2026,111.0261
26-02-2026,111.0069
25-02-2026,110.9826
24-02-2026,110.9394
23-02-2026,110.8829
20-02-2026,110.807
18-02-2026,110.8613
17-02-2026,110.8682
16-02-2026,110.8409
13-02-2026,110.7584
12-02-2026,110.6309
11-02-2026,110.5056
10-02-2026,110.4293
09-02-2026,110.4233
06-02-2026,110.4173
05-02-2026,110.5985
04-02-2026,110.4477
03-02-2026,110.296
02-02-2026,110.1537
30-01-2026,110.1903
29-01-2026,110.0922
28-01-2026,110.0855
27-01-2026,110.1078
23-01-2026,110.0766
22-01-2026,110.0539
21-01-2026,109.9438
20-01-2026,109.9385
19-01-2026,109.9742
16-01-2026,110.0107
14-01-2026,110.1286
13-01-2026,110.1878
12-01-2026,110.2974
09-01-2026,110.2327
08-01-2026,110.2218
07-01-2026,110.2175
06-01-2026,110.2647
05-01-2026,110.2498
02-01-2026,110.3333
01-01-2026,110.3493
31-12-2025,110.3212
30-12-2025,110.2176
29-12-2025,110.2799
26-12-2025,110.2247
24-12-2025,110.2079
23-12-2025,109.9954
22-12-2025,110.0241
19-12-2025,110.0403
18-12-2025,110.0195
17-12-2025,110.0266
16-12-2025,110.0261
15-12-2025,109.9944
12-12-2025,110.0652
11-12-2025,110.0609
10-12-2025,110.0466
09-12-2025,110.1852
08-12-2025,110.3299
05-12-2025,110.3373
04-12-2025,110.235
03-12-2025,110.2362
02-12-2025,110.2349
01-12-2025,110.211
28-11-2025,110.2615
27-11-2025,110.2743
26-11-2025,110.2658
25-11-2025,110.1924
24-11-2025,110.1322
21-11-2025,110.0708
20-11-2025,110.0882
19-11-2025,110.0771
18-11-2025,110.0205
17-11-2025,109.9756
14-11-2025,109.9725
13-11-2025,109.9907
12-11-2025,109.9947
11-11-2025,109.961
10-11-2025,109.925
07-11-2025,109.8609
06-11-2025,109.8337
04-11-2025,109.7941
03-11-2025,109.7548
31-10-2025,109.6768
30-10-2025,109.6521
29-10-2025,109.6934
28-10-2025,109.6404
27-10-2025,109.6125
24-10-2025,109.5673
23-10-2025,109.5817
20-10-2025,109.6155
17-10-2025,109.5844
16-10-2025,109.5131
15-10-2025,109.4754
14-10-2025,109.4088
13-10-2025,109.3763
10-10-2025,109.2852
09-10-2025,109.2597
08-10-2025,109.2524
07-10-2025,109.2045
06-10-2025,109.0926
03-10-2025,108.9591
01-10-2025,108.8285
30-09-2025,108.7397
26-09-2025,108.6702
25-09-2025,108.617
24-09-2025,108.5859
23-09-2025,108.5708
22-09-2025,108.5131
19-09-2025,108.4428
18-09-2025,108.4552
17-09-2025,108.4538
16-09-2025,108.3787
15-09-2025,108.3802
12-09-2025,108.4006
11-09-2025,108.369
10-09-2025,108.3574
09-09-2025,108.3519
05-09-2025,108.245
04-09-2025,108.1379
03-09-2025,108.0471
02-09-2025,108.0088
01-09-2025,108.0373
29-08-2025,108.0297
28-08-2025,108.066
26-08-2025,107.9266
25-08-2025,108.1037
22-08-2025,108.1096
21-08-2025,108.0985
20-08-2025,108.0899
19-08-2025,108.0083
18-08-2025,108.1271
14-08-2025,108.1543
13-08-2025,107.9901
12-08-2025,108.049
11-08-2025,108.2018
08-08-2025,108.2726
07-08-2025,108.2611
06-08-2025,108.2153
05-08-2025,108.4412
04-08-2025,108.4355
01-08-2025,108.2952
31-07-2025,108.2167
30-07-2025,108.1757
29-07-2025,108.1828
28-07-2025,108.2193
25-07-2025,108.1982
24-07-2025,108.2573
23-07-2025,108.2277
22-07-2025,108.1979
21-07-2025,108.1729
18-07-2025,108.1161
17-07-2025,108.0272
16-07-2025,107.9658
15-07-2025,107.962
14-07-2025,107.9617
11-07-2025,107.9125
10-07-2025,107.8928
