amfi_code,VaR95,Max Drawdown
100016,-0.014363639988111142,-0.247344408806733
100025,-0.003793246199522682,-0.04308263824636346
100033,-0.019033535861558825,-0.1621720857464485
101206,-0.013281661986281489,-0.11291596329323078
101207,-0.026021248221061066,-0.3544691649336603
101208,-0.0002686575130400159,-0.001622498024471732
102885,-0.01261262882069356,-0.10859862152502323
102886,-0.01922028344426503,-0.2800112356639287
102887,-0.015231617279157872,-0.21539827112383228
118632,-0.013954045870018117,-0.17414075086657232
118633,-0.013442525143024242,-0.1862974313859551
118634,-0.025438111458963106,-0.2334488614483311
118635,-0.012553697284754662,-0.11650624505409093
118636,-0.003804146068944347,-0.08316361763638701
119092,-0.013749592076363814,-0.14401617909337266
119093,-0.014225516634796053,-0.2175139637014823
119094,-0.018480276243938307,-0.20960883862039192
119095,-0.02618842440959035,-0.5167775370852657
119120,-0.003938283121850805,-0.043287289239700974
119551,-0.012846228628842571,-0.15012385498645334
119552,-0.013500970479935082,-0.118034935027643
119598,-0.0245070519056771,-0.28706005721764555
119599,-0.02685943514961382,-0.525742211701285
120503,-0.01355001716250348,-0.13897862823061635
120504,-0.013728193295939772,-0.12588275606922514
120505,-0.01889178619869274,-0.1818851357211629
120506,-0.014388462899080912,-0.1982565826298267
120507,-0.00022157351389344714,-0.000977314004592568
120841,-0.013141782186804063,-0.17573614164687285
120842,-0.01821853045255608,-0.24003511326274882
120843,-0.014507941385630474,-0.1297396816518679
120844,-0.00028479272823556107,-0.0011629327956168764
125497,-0.014591769071140459,-0.15200013055606393
125498,-0.018365320169601018,-0.2111727956013212
148567,-0.01355977641751056,-0.1126572907502827
148568,-0.014711531333512795,-0.1527259422823477
148569,-0.017118192655621135,-0.16396742946932633
149322,-0.014473851983792741,-0.14844576917771746
149323,-0.017882076201903473,-0.17248105753451382
149324,-0.023483069386777154,-0.3117190030063422
